Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
56581,206859,1099235,-13,1,100.136,30.1383,29.2552,-90.9006,-1.51474,0.770531,13,-1,58.0213,-25.041,-8.08371,-51.7113,-1.42796,-2.82933,-13,1,40.0272,-12.405,-3.23135,-37.9188,-1.80509,-2.88677,13,-1,28.0893,1.96465,-8.34322,-26.7494,-1.85596,-1.33953,90.078542,33.649588,7.051243
56583,206859,1099252,13,-1,49.8811,-33.1586,7.66005,-36.4684,-0.931103,2.91456,-13,1,35.3215,25.2566,-5.62818,-24.0422,-0.83036,-0.219258,13,-1,49.908,15.5559,2.04974,-47.3773,-1.8246,0.131011,-13,1,28.7732,8.55274,-3.88998,-27.1957,-1.78453,-0.426858,91.36536,50.235724,15.784211
56586,206859,1099287,13,-1,60.8585,38.2535,-4.36222,-47.1315,-1.03134,-0.113544,13,-1,43.9142,-21.721,7.75969,-37.3689,-1.2596,2.79848,-13,1,34.1535,-13.2538,3.39489,-31.2932,-1.56517,2.89084,-13,1,24.9556,-9.51663,-3.84588,-22.7468,-1.5363,-2.75754,87.270891,39.848492,5.693902
56587,206859,1099288,-13,1,76.2056,6.4701,47.0493,59.5969,1.05064,1.43414,13,-1,42.2904,-21.2277,-33.6789,14.2683,0.351143,-2.1332,-13,1,23.8262,8.62039,-17.8501,-13.2189,-0.625308,-1.1209,13,-1,18.115,17.1585,-2.95817,-4.99775,-0.283233,-0.170724,149.888436,58.420629,39.447705
56591,206859,1129906,13,-1,59.4399,-14.1305,-27.3495,50.847,1.27608,-2.04769,-13,1,28.4491,13.758,20.8493,-13.6147,-0.521127,0.987507,-13,1,6.84622,5.9183,2.76349,-2.04853,-0.308702,0.436852,13,-1,7.3103,2.77201,3.63402,-5.70432,-1.04638,0.919157,97.339887,36.614846,5.730268
56593,206859,1129912,-13,1,154.849,8.31343,-58.9744,142.937,1.60943,-1.43075,13,-1,49.8792,22.4558,36.4989,25.5242,0.565061,1.01924,13,-1,28.6187,-16.9357,20.7102,10.163,0.371292,2.25626,-13,1,28.8544,-24.3647,9.28483,12.3578,0.457796,2.7775,179.186909,83.088914,39.811951
56597,206859,1129951,-13,1,134.472,49.2349,27.4837,-122.079,-1.5151,0.50913,-13,1,152.441,-9.81207,-49.4257,-143.872,-1.77162,-1.76677,13,-1,80.3168,-39.0524,0.237751,-70.1829,-1.34904,3.1355,13,-1,57.2711,10.959,18.4195,-53.1092,-1.63899,1.03409,168.972417,59.577701,18.549976
56598,206859,1129964,-13,1,136.047,30.8745,-49.1803,123.032,1.49552,-1.0102,13,-1,74.8794,21.4986,39.0121,60.1895,1.10932,1.06713,-13,1,111.0,-33.882,12.4979,104.96,1.78843,2.78821,13,-1,64.523,-17.5858,-4.45762,61.9199,1.94156,-2.89334,163.605626,66.859295,54.474798
56601,206859,1129988,13,-1,71.9128,-25.0645,11.4805,66.4184,1.61297,2.71207,-13,1,27.8345,-24.4375,-6.30265,-11.7403,-0.44987,-2.88918,13,-1,23.7205,-14.4418,14.3389,12.1854,0.567757,2.35977,-13,1,15.2838,0.776011,7.93592,13.0385,1.26748,1.47332,90.132448,32.886755,17.969976
56607,206859,1130024,13,-1,524.954,-69.8218,-123.111,505.515,1.98524,-2.08671,-13,1,124.69,40.1638,117.958,-4.49602,-0.036073,1.24262,13,-1,96.6008,86.5252,40.4813,-14.3653,-0.149819,0.437603,-13,1,10.7085,6.05188,7.02979,5.34963,0.54876,0.860014,570.226291,371.477685,23.962229
