Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
2867,1,114232,-13,1,204.646,78.9796,-121.952,144.118,0.875644,-0.996088,13,-1,51.6516,-17.1569,-5.80313,48.3719,1.70884,-2.81543,-11,1,68.233,9.51672,-19.4092,64.7183,1.81651,-1.11492,11,-1,12.3488,-4.12642,-11.6266,0.5358,0.043416,-1.91184,131.6192,92.155731,35.256953
2875,1,114277,13,-1,62.2379,27.4277,42.5674,-36.1839,-0.664547,0.998413,-13,1,40.7428,-1.53313,-37.1044,-16.7592,-0.437228,-1.61209,11,-1,32.5265,22.6237,-7.61331,-22.0947,-0.827786,-0.324616,-11,1,17.7568,1.68363,-17.4609,2.75446,0.156384,-1.47467,123.93604,84.271464,30.574549
2877,1,114293,-11,1,80.7235,-34.2372,-30.1679,-66.5883,-1.17194,-2.41929,11,-1,20.4442,-18.5504,-0.400373,-8.58432,-0.447558,-3.12001,11,-1,24.6148,17.0533,5.68666,16.8147,0.83493,0.321868,-11,1,12.3273,0.691325,11.9219,3.05803,0.253356,1.51287,120.914328,87.887022,24.32569
2879,1,114304,-11,1,59.1897,23.6767,-53.8762,-6.33949,-0.107517,-1.15674,11,-1,36.5006,-3.92153,34.9311,-9.83514,-0.276273,1.68259,11,-1,16.2121,-10.7933,11.5134,3.71211,0.233103,2.32393,-11,1,16.1268,-8.91029,-5.08624,-12.4422,-1.02409,-2.6229,124.958111,40.313857,19.170797
2881,1,114309,-13,1,40.4554,-38.9642,-10.7589,1.63347,0.040399,-2.87218,13,-1,93.9567,22.1245,-8.60095,90.9086,2.05257,-0.370772,-13,1,14.8116,11.1937,-9.12936,-3.27523,-0.224846,-0.68417,13,-1,10.0577,8.07713,-5.08766,3.16559,0.325822,-0.562105,125.273675,43.416614,29.487721
2883,1,114329,-13,1,67.798,41.1737,-31.7877,43.4836,0.7605,-0.657457,13,-1,55.6114,-41.5931,-8.63132,35.8905,0.767342,-2.93698,11,-1,25.146,4.5367,16.7496,18.1986,0.915411,1.30629,-11,1,28.5961,-6.98161,-5.74912,27.1282,1.81831,-2.45271,122.305702,85.415216,26.583949
2884,1,114330,-13,1,80.7351,6.45414,-36.2572,-71.8463,-1.42146,-1.39463,13,-1,27.1103,8.31356,22.6133,12.4291,0.495369,1.21849,-11,1,26.4721,-20.6431,-9.60653,-13.5037,-0.562879,-2.70604,11,-1,17.5456,4.67365,11.0344,-12.8159,-0.929655,1.17015,124.743443,87.726767,31.428879
2888,1,114361,-11,1,68.1469,-33.8542,22.6081,54.6513,1.10409,2.5528,11,-1,140.468,19.2641,-27.6387,136.368,2.10623,-0.962087,11,-1,14.678,9.32321,-10.7835,3.49813,0.242997,-0.8579,-11,1,17.7843,13.0605,3.07478,11.6726,0.786364,0.231216,124.019584,52.31651,38.464338
2889,1,114365,-13,1,31.8834,11.4863,-22.1171,19.8857,0.731041,-1.0918,13,-1,20.0317,-14.4563,-0.74775,13.8461,0.850288,-3.08991,-11,1,87.0987,-44.2807,-40.5535,63.0938,0.916829,-2.4001,11,-1,122.464,12.7341,14.7429,120.905,2.52514,0.858375,131.921684,91.649287,32.02688
2891,1,114388,13,-1,67.5036,53.5438,23.9444,-33.4133,-0.542643,0.420517,-13,1,46.7744,-4.28895,-30.7233,-35.0074,-0.969381,-1.7095,13,-1,26.2735,-23.6889,-3.66888,-10.7547,-0.434816,-2.98794,-13,1,8.44021,-7.95654,-0.664386,2.73459,0.336133,-3.05828,126.181459,74.43736,29.529308
2892,1,114398,-13,1,159.165,9.33739,41.981,-153.245,-1.98296,1.35194,13,-1,58.8543,2.80698,-37.6952,-45.1111,-1.01176,-1.49647,13,-1,39.2635,-0.558256,-18.4893,-34.633,-1.38501,-1.60098,-13,1,30.6895,-9.24293,12.7364,-26.3474,-1.28769,2.19857,125.159828,28.23647,10.306619
2910,1,114558,11,-1,50.9039,11.3442,-47.9962,-12.6047,-0.252873,-1.3387,-11,1,51.2129,14.6958,41.3288,-26.4335,-0.571076,1.22916,11,-1,40.5531,18.4708,-4.58709,-35.8099,-1.38938,-0.243418,-11,1,15.5281,2.32363,-8.95856,-12.4686,-1.10692,-1.31701,121.656771,45.790625,18.811858
2912,1,114587,-13,1,62.417,32.646,-18.7784,49.7743,1.09157,-0.521993,13,-1,35.6028,-18.2901,-29.3252,-8.54705,-0.244846,-2.12846,13,-1,23.3499,6.50278,15.6227,16.0889,0.846132,1.17637,-13,1,38.1278,-16.3515,-3.0833,34.305,1.47087,-2.95522,125.538402,50.223282,38.411126
2916,1,114614,-13,1,132.244,-46.4118,-25.6509,121.146,1.5641,-2.63669,13,-1,25.2373,22.6311,-11.0579,-1.56996,-0.062289,-0.454497,-13,1,24.8954,14.6594,3.7385,19.7711,1.08264,0.249702,13,-1,14.1514,-10.8716,-0.649755,9.03538,0.755632,-3.0819,122.783947,27.163415,22.612144
2918,1,114632,-13,1,57.8728,-40.6181,15.1301,-38.3471,-0.797455,2.78502,13,-1,148.754,21.3067,-28.187,-144.496,-2.11618,-0.923528,11,-1,38.9277,17.3076,1.18093,-34.8485,-1.44757,0.068126,-11,1,15.1426,-1.02451,9.67468,-11.6039,-1.01131,1.6763,123.986029,93.378919,19.564984
2919,1,114645,13,-1,45.0083,41.7407,-5.80718,-15.8028,-0.366708,-0.138238,-13,1,47.1948,-29.1406,-15.4843,33.7401,0.897163,-2.65317,-13,1,20.9224,6.87408,16.8963,-10.247,-0.535752,1.18441,13,-1,13.0443,-10.2681,-4.03258,6.96042,0.595188,-2.76737,124.693207,34.378768,6.185677
2924,1,114685,-11,1,62.7868,17.1327,19.1588,57.2852,1.54153,0.841169,11,-1,33.0141,-22.1965,-9.70112,-22.4306,-0.828045,-2.72955,-11,1,22.5154,20.14,5.05525,-8.70468,-0.407807,0.245925,11,-1,11.6501,4.43903,10.7659,-0.33973,-0.029169,1.17971,123.309512,45.697991,30.614348
2928,1,114710,11,-1,56.6901,40.2538,-39.5301,-5.54709,-0.098163,-0.776328,-11,1,52.6029,-11.9386,31.442,-40.4468,-1.01765,1.93368,-11,1,13.9035,-8.25506,10.9394,-2.34344,-0.170174,2.21725,11,-1,12.4367,-5.44529,-10.9957,2.02859,0.164583,-2.03061,126.380143,31.648788,19.701006
2932,1,114766,-13,1,15.7705,13.3148,6.75503,-5.07774,-0.33386,0.469497,13,-1,13.4782,5.05764,2.99097,12.1295,1.47203,0.534055,11,-1,56.2862,8.94906,-52.6778,17.6947,0.325388,-1.40252,-11,1,16.8248,-4.65897,8.29261,13.878,1.17183,2.08267,85.277169,48.579141,19.319111
2933,1,114771,-13,1,100.031,-64.3345,49.8415,58.164,0.664668,2.48245,13,-1,22.0059,-8.60966,18.4869,8.26769,0.395053,2.00664,13,-1,22.222,18.8717,1.53112,-11.6327,-0.581124,0.080956,-13,1,13.4833,-5.21056,-3.37233,-11.9693,-1.41118,-2.56718,122.935741,89.8589,28.746003
