Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
106156,200519,142328,11,-1,389.879,-39.3275,188.648,338.925,1.33025,1.77632,11,-1,118.394,-61.3344,-100.89,8.73725,0.073932,-2.11703,-11,1,91.6548,22.1312,-85.1132,25.8179,0.289513,-1.31641,-11,1,146.458,-59.8311,37.4982,128.313,1.35876,2.58175,533.422861,91.495886,82.415767
106159,200519,142363,11,-1,312.435,-71.0543,29.7305,302.792,2.07788,2.74531,11,-1,216.048,-22.2672,-51.9235,208.531,2.01692,-1.97592,-11,1,227.53,26.9652,35.481,223.124,2.31376,0.920932,-11,1,66.2417,39.0562,1.13845,53.4909,1.11984,0.029141,233.030555,93.691908,90.393622
106163,200519,142382,-11,1,42.0748,21.9586,-22.8845,-27.6479,-0.787718,-0.806043,11,-1,29.3242,9.69145,27.2503,-4.8385,-0.166522,1.2291,11,-1,36.2655,4.64307,27.9662,-22.6168,-0.730948,1.40627,-11,1,16.2796,-4.16141,14.6895,-5.65037,-0.362124,1.84686,91.802371,53.639445,13.422444
106164,200519,142384,11,-1,62.3526,-12.2831,-60.1024,-11.1659,-0.181028,-1.77239,-11,1,38.0982,-14.6676,35.1606,0.25326,0.006648,1.96601,11,-1,31.8692,27.9139,-12.9665,8.26617,0.265442,-0.434863,-11,1,86.7189,-8.35035,13.4081,-85.2682,-2.38768,2.1278,198.982966,73.912271,57.323234
106165,200519,142387,11,-1,45.1711,-3.58996,-27.0443,36.002,1.09037,-1.70277,11,-1,64.5672,11.3267,20.8977,60.0326,1.65669,1.07411,-11,1,11.5755,-4.2309,10.4465,-2.63879,-0.23204,1.95561,-11,1,9.60337,1.4458,-6.32534,7.07986,0.944377,-1.34608,83.757531,38.351689,5.105449
106166,200519,142401,11,-1,125.321,40.4213,-62.9176,100.563,1.10543,-0.999749,-11,1,24.7671,-16.4324,17.7254,5.40317,0.221723,2.31836,-11,1,40.1302,-13.0265,14.1542,35.2193,1.36535,2.31473,11,-1,51.0546,-4.47066,16.9712,-47.9434,-1.73004,1.82837,221.987637,157.911399,26.025733
106167,200519,142407,-11,1,65.3245,34.1786,-11.1043,54.551,1.20468,-0.314132,11,-1,21.3019,-20.7589,-3.43317,3.32457,0.157355,-2.97769,11,-1,45.4312,-0.403629,7.82997,44.7495,2.44253,1.6223,-11,1,9.66039,3.77704,5.69851,6.82525,0.880199,0.985466,88.439751,40.926836,19.642721
106173,200519,142495,-11,1,45.3209,-40.703,-10.1865,-17.1314,-0.397726,-2.89637,11,-1,58.0131,11.9491,38.8005,41.4398,0.895947,1.27205,11,-1,13.793,12.4203,-5.96759,-0.610038,-0.044257,-0.447903,-11,1,9.56493,3.10367,-6.30736,-6.48632,-0.825654,-1.11351,123.744071,42.628381,27.729057
106174,200519,642701,-11,1,136.38,-66.9821,-104.946,55.6713,0.433456,-2.13887,11,-1,100.75,66.1813,75.53,8.11274,0.080698,0.851273,-11,1,47.6869,-22.4003,30.6535,-28.8554,-0.701156,2.20187,11,-1,24.9614,19.1963,-10.7691,-11.7728,-0.512178,-0.511246,308.738583,140.188952,65.625081
106208,200519,651613,-11,1,136.357,-4.22193,32.2082,132.432,2.11319,1.70114,11,-1,16.8443,-8.50247,-14.0615,3.70303,0.223487,-2.11464,11,-1,32.6963,9.12987,-12.5267,28.7884,1.3779,-0.940982,-11,1,14.4121,-1.10693,-6.80835,12.6542,1.36709,-1.73197,92.556174,46.642808,13.472652
