Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
57630,194533,784735,13,-1,20.3237,-17.739,9.65244,-2.2808,-0.1127,2.64326,-13,1,12.8085,-11.3806,5.43809,2.22567,0.175553,2.69583,-11,1,37.5869,36.9597,5.81308,-3.60007,-0.096074,0.156004,11,-1,19.2697,-12.9942,13.4385,4.67776,0.247696,2.33939,83.012007,47.817811,4.69728
57631,194533,784743,-13,1,61.5705,-7.57637,38.7763,47.222,1.0129,1.76375,13,-1,37.642,4.07062,-36.987,5.68296,0.152138,-1.46118,-11,1,140.875,40.5754,-7.46863,-134.699,-1.89903,-0.182031,11,-1,50.4724,-35.1246,16.0888,-32.4789,-0.764121,2.71207,266.935592,92.52761,83.837304
57633,194533,784788,-13,1,15.5453,-11.7055,9.11309,-4.64531,-0.308236,2.48008,13,-1,8.37314,-8.21703,0.011084,-1.60582,-0.194202,3.14024,-11,1,44.1031,19.1286,-22.3716,32.8434,0.960943,-0.863384,11,-1,29.4986,-18.7518,-11.999,-19.3536,-0.785909,-2.57236,91.860556,63.669109,7.270309
57634,194533,784795,13,-1,49.2468,34.0928,21.471,-28.3182,-0.655,0.562031,-13,1,48.2303,-27.9884,-26.3407,29.1371,0.699619,-2.38651,11,-1,54.03,-10.8734,49.8573,17.7554,0.341282,1.78552,-11,1,51.8506,15.4204,-11.285,-48.2011,-1.65555,-0.631767,198.058803,97.160366,93.676375
57636,194533,784813,-13,1,130.478,74.1937,48.645,-95.6737,-0.935733,0.580336,13,-1,34.7726,-13.0509,-22.3587,-23.2139,-0.806391,-2.09915,11,-1,73.9522,-33.9611,-33.7781,-56.3438,-1.00071,-2.3589,-11,1,48.0666,-25.3869,-17.1947,37.0169,1.02061,-2.54626,250.614875,93.509827,91.622306
57637,194533,784819,13,-1,348.124,-70.1392,65.4289,-334.649,-1.96266,2.39092,-13,1,28.9716,16.2802,15.3182,-18.4296,-0.751648,0.75496,11,-1,125.415,-16.8885,-91.7499,-83.8193,-0.807729,-1.75283,-11,1,67.8246,53.2194,-32.8033,-26.3023,-0.409208,-0.552376,329.39582,91.549671,90.087223
57639,194533,784831,-13,1,14.6371,-8.85812,-7.88221,-8.5812,-0.671979,-2.41443,13,-1,7.21496,3.71742,2.46067,-5.67189,-1.06144,0.584717,-11,1,59.5095,28.9963,-10.3896,-50.9181,-1.2768,-0.344056,11,-1,145.069,-29.0421,10.1456,-141.77,-2.2326,2.8055,91.581353,68.72843,14.783168
57640,194533,784873,-13,1,13.7299,-11.2538,2.20958,-7.54781,-0.618025,2.94772,13,-1,7.93696,-7.72298,-1.80374,-0.293506,-0.037,-2.91215,-11,1,38.1002,24.757,13.607,-25.5649,-0.812545,0.502553,11,-1,36.366,0.339346,-19.3908,-30.7631,-1.24167,-1.5533,71.11605,41.341171,6.905339
57645,194533,784890,13,-1,24.814,-16.0798,9.0626,-16.5841,-0.807742,2.62837,-13,1,11.0264,-4.42147,5.99015,-8.13266,-0.945179,2.20665,11,-1,112.372,-57.0838,43.49,-86.4724,-1.01915,2.49054,-11,1,45.6518,11.0493,-2.96444,-44.1952,-2.06099,-0.262119,76.961493,64.311768,5.16998
57650,194533,784952,-13,1,35.0873,-26.1677,-9.45053,-21.3787,-0.707811,-2.79502,13,-1,37.7014,24.3179,5.78321,28.2236,0.969793,0.233479,11,-1,13.2044,7.46549,-9.45379,5.40808,0.435092,-0.902378,-11,1,7.90201,3.43327,5.5345,4.47479,0.642037,1.01556,91.635327,72.349645,14.617305
